,date,sex,age,confirmed,deceased
397,2020-03-24,male,10,181,0
398,2020-03-24,male,20,943,0
399,2020-03-24,male,30,356,0
400,2020-03-24,male,40,477,0
401,2020-03-24,male,50,664,4
402,2020-03-24,male,60,443,10
403,2020-03-24,male,70,235,19
404,2020-03-24,male,80,155,26
405,2020-03-24,female,0,64,0
406,2020-03-24,female,10,286,0
407,2020-03-24,female,20,1494,0
408,2020-03-24,female,30,564,0
409,2020-03-24,female,40,756,0
410,2020-03-24,female,50,1051,4
411,2020-03-24,female,60,702,10
412,2020-03-24,female,70,372,19
413,2020-03-24,female,80,245,26
414,2020-03-25,male,0,40,0
415,2020-03-25,male,10,184,0
416,2020-03-25,male,20,960,0
417,2020-03-25,male,30,366,0
418,2020-03-25,male,40,484,0
419,2020-03-25,male,50,669,5
420,2020-03-25,male,60,448,10
421,2020-03-25,male,70,237,19
422,2020-03-25,male,80,157,27
423,2020-03-25,female,0,64,0
424,2020-03-25,female,10,290,0
425,2020-03-25,female,20,1512,0
426,2020-03-25,female,30,576,0
427,2020-03-25,female,40,761,0
428,2020-03-25,female,50,1054,4
429,2020-03-25,female,60,705,9
430,2020-03-25,female,70,373,19
431,2020-03-25,female,80,248,27
432,2020-03-26,male,0,41,0
433,2020-03-26,male,10,190,0
434,2020-03-26,male,20,976,0
435,2020-03-26,male,30,371,0
436,2020-03-26,male,40,487,0
437,2020-03-26,male,50,676,5
438,2020-03-26,male,60,452,10
439,2020-03-26,male,70,239,21
440,2020-03-26,male,80,161,30
441,2020-03-26,female,0,64,0
442,2020-03-26,female,10,297,0
443,2020-03-26,female,20,1531,0
444,2020-03-26,female,30,583,0
445,2020-03-26,female,40,764,0
446,2020-03-26,female,50,1061,4
447,2020-03-26,female,60,709,9
448,2020-03-26,female,70,376,19
449,2020-03-26,female,80,254,27
450,2020-03-27,male,0,42,0
451,2020-03-27,male,10,193,0
452,2020-03-27,male,20,987,0
453,2020-03-27,male,30,374,0
454,2020-03-27,male,40,489,0
455,2020-03-27,male,50,683,5
456,2020-03-27,male,60,456,11
457,2020-03-27,male,70,245,22
458,2020-03-27,male,80,166,35
459,2020-03-27,female,0,65,0
460,2020-03-27,female,10,302,0
461,2020-03-27,female,20,1544,0
462,2020-03-27,female,30,585,0
463,2020-03-27,female,40,766,0
464,2020-03-27,female,50,1068,4
465,2020-03-27,female,60,713,9
466,2020-03-27,female,70,384,18
467,2020-03-27,female,80,261,29
468,2020-03-28,male,0,42,0
469,2020-03-28,male,10,197,0
470,2020-03-28,male,20,1011,0
471,2020-03-28,male,30,385,0
472,2020-03-28,male,40,503,0
473,2020-03-28,male,50,701,5
474,2020-03-28,male,60,473,11
475,2020-03-28,male,70,249,21
476,2020-03-28,male,80,170,37
477,2020-03-28,female,0,66,0
478,2020-03-28,female,10,303,0
479,2020-03-28,female,20,1555,0
480,2020-03-28,female,30,592,0
481,2020-03-28,female,40,774,0
482,2020-03-28,female,50,1078,4
483,2020-03-28,female,60,727,9
484,2020-03-28,female,70,382,19
485,2020-03-28,female,80,261,32
486,2020-03-29,male,0,44,0
487,2020-03-29,male,10,201,0
488,2020-03-29,male,20,1031,0
489,2020-03-29,male,30,393,0
490,2020-03-29,male,40,512,0
491,2020-03-29,male,50,712,5
492,2020-03-29,male,60,479,10
493,2020-03-29,male,70,251,22
494,2020-03-29,male,80,172,39
495,2020-03-29,female,0,66,0
496,2020-03-29,female,10,306,0
497,2020-03-29,female,20,1570,0
498,2020-03-29,female,30,599,0
499,2020-03-29,female,40,779,0
500,2020-03-29,female,50,1085,4
501,2020-03-29,female,60,730,10
502,2020-03-29,female,70,383,20
503,2020-03-29,female,80,261,37
504,2020-03-30,male,0,44,0
505,2020-03-30,male,10,203,0
506,2020-03-30,male,20,1043,0
507,2020-03-30,male,30,397,0
508,2020-03-30,male,40,514,0
509,2020-03-30,male,50,719,5
510,2020-03-30,male,60,483,10
511,2020-03-30,male,70,253,22
512,2020-03-30,male,80,173,40
513,2020-03-30,female,0,67,0
514,2020-03-30,female,10,309,0
515,2020-03-30,female,20,1586,0
516,2020-03-30,female,30,604,0
517,2020-03-30,female,40,782,0
518,2020-03-30,female,50,1092,4
519,2020-03-30,female,60,734,10
520,2020-03-30,female,70,386,22
521,2020-03-30,female,80,263,39
522,2020-03-31,male,0,44,0
523,2020-03-31,male,10,205,0
524,2020-03-31,male,20,1059,0
525,2020-03-31,male,30,403,0
526,2020-03-31,male,40,523,0
527,2020-03-31,male,50,738,5
528,2020-03-31,male,60,492,11
529,2020-03-31,male,70,259,23
530,2020-03-31,male,80,176,41
531,2020-03-31,female,0,67,0
532,2020-03-31,female,10,309,0
533,2020-03-31,female,20,1596,0
534,2020-03-31,female,30,608,0
535,2020-03-31,female,40,788,0
536,2020-03-31,female,50,1112,4
537,2020-03-31,female,60,742,10
538,2020-03-31,female,70,391,22
539,2020-03-31,female,80,265,40
540,2020-04-01,male,0,46,0
