date,province,count,code,avg_temp,min_temp,max_temp,precipitation,max_wind_speed,most_wind_direction,avg_relative_humidity
2020-03-02,Jeju-do,1,70000.0,8.0,6.0,10.4,0.0,6.0,340.0,61.9
2020-03-02,Jeollabuk-do,1,50000.0,4.9,1.8,9.6,0.0,3.8,270.0,60.1
2020-03-02,Seoul,6,10000.0,3.4,0.0,7.6,0.0,4.9,290.0,55.3
2020-03-03,Busan,3,11000.0,8.7,5.6,12.6,0.0,4.5,50.0,63.9
2020-03-03,Chungcheongnam-do,2,41000.0,4.2,-1.0,11.2,0.0,4.8,200.0,74.0
2020-03-03,Daejeon,1,15000.0,7.2,0.1,15.0,0.0,3.6,140.0,64.5
2020-03-03,Gangwon-do,1,30000.0,6.8,1.2,11.1,0.0,5.8,110.0,71.3
2020-03-03,Gyeonggi-do,8,20000.0,4.6,-0.9,10.8,0.0,4.6,270.0,83.3
2020-03-03,Gyeongsangbuk-do,92,60000.0,5.2,0.4,9.7,0.0,3.2,160.0,79.3
2020-03-03,Gyeongsangnam-do,2,61000.0,7.6,4.1,11.7,0.0,4.1,20.0,62.3
2020-03-03,Incheon,2,14000.0,4.8,1.2,9.4,0.0,4.6,270.0,63.5
2020-03-03,Ulsan,2,16000.0,7.1,3.0,11.7,0.0,3.8,90.0,74.6
2020-03-04,Busan,1,11000.0,7.9,1.7,13.0,0.0,9.6,270.0,43.1
2020-03-04,Chungcheongbuk-do,1,40000.0,2.5,-0.4,7.5,0.0,7.2,270.0,58.5
2020-03-04,Chungcheongnam-do,3,41000.0,2.8,0.6,6.3,0.0,9.0,290.0,60.9
2020-03-04,Daejeon,3,15000.0,4.2,0.2,8.8,0.0,6.4,250.0,55.4
2020-03-04,Gangwon-do,4,30000.0,5.5,1.7,9.4,0.0,8.2,250.0,39.1
2020-03-04,Gwangju,1,13000.0,4.9,0.2,9.0,0.0,4.3,360.0,57.6
2020-03-04,Gyeonggi-do,7,20000.0,2.5,-0.9,5.3,0.2,7.3,270.0,76.8
2020-03-04,Gyeongsangbuk-do,82,60000.0,5.6,1.2,10.0,0.0,9.2,270.0,48.0
2020-03-04,Gyeongsangnam-do,8,61000.0,6.4,0.6,12.2,0.0,4.1,290.0,41.0
2020-03-04,Jeju-do,1,70000.0,8.0,5.2,10.6,0.0,9.6,320.0,58.6
2020-03-04,Seoul,5,10000.0,2.2,-1.3,4.6,0.0,6.8,270.0,53.4
2020-03-05,Busan,1,11000.0,5.1,-0.3,11.5,0.0,9.4,270.0,42.3
2020-03-05,Chungcheongbuk-do,3,40000.0,1.0,-3.0,7.4,0.0,3.7,250.0,55.5
2020-03-05,Chungcheongnam-do,5,41000.0,1.2,-3.7,6.3,0.0,4.8,320.0,55.5
2020-03-05,Daegu,1,12000.0,3.7,-0.7,10.4,0.0,5.3,320.0,51.8
2020-03-05,Gangwon-do,1,30000.0,3.4,-0.3,8.3,0.0,4.3,230.0,47.6
2020-03-05,Gyeonggi-do,10,20000.0,1.1,-2.3,5.6,0.0,4.5,270.0,71.4
2020-03-05,Gyeongsangbuk-do,118,60000.0,2.9,-1.6,10.1,0.0,9.1,290.0,54.0
2020-03-05,Gyeongsangnam-do,4,61000.0,3.3,-1.8,9.4,0.0,6.8,50.0,41.4
2020-03-05,Seoul,2,10000.0,1.4,-2.8,6.3,0.0,4.1,270.0,47.5
2020-03-06,Busan,3,11000.0,8.1,3.2,12.6,0.0,7.6,200.0,46.4
2020-03-06,Chungcheongbuk-do,5,40000.0,2.0,-6.2,10.6,0.0,1.9,90.0,55.3
2020-03-06,Chungcheongnam-do,4,41000.0,2.3,-5.5,10.4,0.0,3.1,50.0,63.3
2020-03-06,Gyeonggi-do,11,20000.0,3.1,-3.8,10.4,0.0,3.5,110.0,69.6
2020-03-06,Gyeongsangbuk-do,67,60000.0,5.9,-2.0,14.2,0.0,4.8,180.0,42.4
2020-03-06,Gyeongsangnam-do,3,61000.0,5.9,-0.7,12.5,0.0,5.1,360.0,41.9
2020-03-06,Seoul,7,10000.0,3.7,-2.5,10.1,0.0,3.6,50.0,46.8
2020-03-07,Busan,1,11000.0,8.2,6.1,11.8,7.0,3.5,50.0,75.6
2020-03-07,Chungcheongbuk-do,4,40000.0,4.4,-2.1,11.4,0.0,3.7,90.0,64.8
2020-03-07,Chungcheongnam-do,4,41000.0,4.5,-1.9,12.3,0.0,3.3,50.0,60.9
2020-03-07,Gangwon-do,1,30000.0,6.9,2.0,12.5,0.0,3.2,230.0,59.9
2020-03-07,Gwangju,1,13000.0,5.7,3.4,7.5,9.1,3.2,20.0,87.4
2020-03-07,Gyeonggi-do,10,20000.0,5.3,-0.8,12.9,0.0,3.5,110.0,73.1
2020-03-07,Gyeongsangbuk-do,26,60000.0,6.5,0.4,11.1,0.0,3.0,180.0,67.3
2020-03-07,Gyeongsangnam-do,1,61000.0,6.5,3.1,10.4,2.3,2.5,20.0,70.4
2020-03-07,Sejong,1,,,,,,,,
2020-03-07,Seoul,7,10000.0,7.0,1.3,14.2,0.0,4.1,70.0,39.5
2020-03-07,Ulsan,1,16000.0,7.3,2.8,12.5,0.4,2.9,340.0,72.6
2020-03-08,Chungcheongbuk-do,1,40000.0,6.9,-2.3,17.5,0.0,2.5,110.0,61.5
2020-03-08,Chungcheongnam-do,4,41000.0,6.9,-2.0,17.8,0.0,5.2,50.0,58.9
2020-03-08,Daegu,1,12000.0,8.3,1.8,16.0,0.0,4.7,140.0,77.9
2020-03-08,Gangwon-do,1,30000.0,8.1,2.4,14.3,0.0,3.5,230.0,66.3
2020-03-08,Gwangju,1,13000.0,9.6,3.1,18.0,0.0,3.1,250.0,73.0
2020-03-08,Gyeonggi-do,12,20000.0,7.4,-1.1,17.1,0.0,3.7,160.0,73.6
2020-03-08,Gyeongsangbuk-do,22,60000.0,7.7,2.4,14.3,0.0,6.5,180.0,78.5
2020-03-08,Sejong,2,,,,,,,,
2020-03-08,Seoul,10,10000.0,9.3,2.3,16.9,0.0,4.6,290.0,43.8
2020-03-09,Chungcheongbuk-do,1,40000.0,8.9,-0.9,16.8,0.2,3.2,90.0,59.6
2020-03-09,Chungcheongnam-do,2,41000.0,8.3,0.3,16.6,3.5,4.0,360.0,60.1
2020-03-09,Gyeonggi-do,12,20000.0,9.5,1.2,16.6,0.2,3.1,290.0,72.4
2020-03-09,Gyeongsangbuk-do,13,60000.0,9.1,1.6,14.4,0.0,4.2,180.0,80.9
2020-03-09,Incheon,13,14000.0,9.4,4.6,14.9,0.0,6.1,340.0,52.5
2020-03-09,Sejong,2,,,,,,,,
2020-03-09,Seoul,26,10000.0,11.1,4.8,17.6,0.0,4.5,320.0,37.6
2020-03-10,Busan,2,11000.0,9.9,7.3,12.1,13.9,6.5,,83.6
2020-03-10,Chungcheongbuk-do,1,40000.0,6.6,3.2,8.8,12.7,4.9,270.0,88.5
2020-03-10,Chungcheongnam-do,10,41000.0,5.9,4.0,8.0,5.9,8.4,290.0,79.4
2020-03-10,Gangwon-do,1,30000.0,8.1,6.0,10.6,17.3,3.6,320.0,93.0
2020-03-10,Gyeonggi-do,10,20000.0,6.6,3.9,8.9,7.3,5.7,290.0,92.1
2020-03-10,Gyeongsangbuk-do,14,60000.0,9.0,5.5,11.0,10.9,6.2,20.0,92.8
2020-03-10,Gyeongsangnam-do,1,61000.0,9.0,5.7,10.6,11.4,3.8,270.0,76.3
2020-03-10,Incheon,3,14000.0,6.3,3.7,9.5,6.1,9.1,340.0,78.1
2020-03-10,Sejong,6,,,,,,,,
2020-03-10,Seoul,46,10000.0,6.4,3.2,10.8,11.8,5.3,290.0,78.4
2020-03-10,Ulsan,1,16000.0,9.9,7.7,11.1,19.3,4.9,320.0,87.3
2020-03-11,Busan,2,11000.0,7.8,3.6,13.5,0.0,6.8,270.0,37.0
2020-03-11,Chungcheongnam-do,1,41000.0,3.8,-1.5,8.9,0.0,6.6,320.0,49.8
2020-03-11,Daejeon,2,15000.0,4.8,0.7,10.2,0.0,5.8,250.0,47.4
2020-03-11,Gyeonggi-do,5,20000.0,3.5,0.4,7.3,0.0,6.2,290.0,67.5
2020-03-11,Gyeongsangbuk-do,14,60000.0,6.0,0.1,11.0,0.0,8.2,270.0,47.3
2020-03-11,Gyeongsangnam-do,1,61000.0,6.9,1.8,12.6,0.0,4.2,270.0,33.6
2020-03-11,Incheon,1,14000.0,3.8,1.3,6.9,0.0,7.7,340.0,47.5
2020-03-11,Sejong,8,,,,,,,,
2020-03-11,Seoul,18,10000.0,3.8,0.0,8.3,0.0,5.5,270.0,41.8
2020-03-12,Busan,1,11000.0,9.5,3.6,14.5,0.0,9.5,180.0,39.5
2020-03-12,Daejeon,2,15000.0,7.0,-1.6,16.2,0.0,3.9,140.0,48.0
2020-03-12,Gyeonggi-do,6,20000.0,6.5,-1.0,14.1,0.0,6.3,250.0,68.6
2020-03-12,Gyeongsangbuk-do,1,60000.0,9.8,1.8,16.4,0.0,6.4,270.0,30.5
2020-03-12,Incheon,1,14000.0,6.7,2.3,11.4,0.0,5.7,180.0,60.5
2020-03-12,Sejong,12,,,,,,,,
2020-03-12,Seoul,11,10000.0,6.8,0.2,13.3,0.0,5.4,250.0,49.8
2020-03-12,Ulsan,2,16000.0,9.3,2.2,16.5,0.0,4.2,200.0,28.8
2020-03-13,Busan,4,11000.0,11.6,8.5,17.0,0.0,6.4,250.0,48.5
2020-03-13,Chungcheongbuk-do,1,40000.0,5.7,-1.4,11.9,0.0,4.8,270.0,50.5
2020-03-13,Gyeonggi-do,15,20000.0,5.4,0.3,9.7,0.1,6.3,320.0,61.6
2020-03-13,Gyeongsangbuk-do,4,60000.0,8.5,2.4,14.2,0.0,7.1,290.0,53.0
2020-03-13,Incheon,1,14000.0,4.2,0.2,7.3,0.0,7.9,340.0,45.0
2020-03-13,Sejong,1,,,,,,,,
2020-03-13,Seoul,9,10000.0,4.9,-0.1,8.7,0.5,5.4,320.0,41.0
2020-03-14,Busan,2,11000.0,8.2,4.7,12.0,0.0,6.5,270.0,21.0
2020-03-14,Chungcheongbuk-do,3,40000.0,4.0,-4.5,10.3,0.0,5.3,250.0,46.5
2020-03-14,Gwangju,1,13000.0,5.9,0.3,10.9,0.0,4.8,20.0,43.3
