,date,age,confirmed,deceased
378,2020-04-13,0s,132,0
379,2020-04-13,10s,562,0
380,2020-04-13,20s,2879,0
381,2020-04-13,30s,1122,1
382,2020-04-13,40s,1401,3
383,2020-04-13,50s,1932,14
384,2020-04-13,60s,1335,32
385,2020-04-13,70s,698,64
386,2020-04-13,80s,476,103
387,2020-04-14,0s,132,0
388,2020-04-14,10s,565,0
389,2020-04-14,20s,2886,0
390,2020-04-14,30s,1126,1
391,2020-04-14,40s,1405,3
392,2020-04-14,50s,1935,14
393,2020-04-14,60s,1338,33
394,2020-04-14,70s,700,65
395,2020-04-14,80s,477,106
396,2020-04-15,0s,132,0
397,2020-04-15,10s,569,0
398,2020-04-15,20s,2895,0
399,2020-04-15,30s,1131,1
400,2020-04-15,40s,1408,3
401,2020-04-15,50s,1937,14
402,2020-04-15,60s,1339,33
403,2020-04-15,70s,702,68
404,2020-04-15,80s,478,106
405,2020-04-16,0s,135,0
406,2020-04-16,10s,572,0
407,2020-04-16,20s,2900,0
408,2020-04-16,30s,1132,1
409,2020-04-16,40s,1410,3
410,2020-04-16,50s,1940,14
411,2020-04-16,60s,1341,33
412,2020-04-16,70s,703,68
413,2020-04-16,80s,480,110
414,2020-04-17,0s,136,0
415,2020-04-17,10s,576,0
416,2020-04-17,20s,2909,0
417,2020-04-17,30s,1135,1
418,2020-04-17,40s,1411,3
419,2020-04-17,50s,1942,14
420,2020-04-17,60s,1342,33
421,2020-04-17,70s,704,68
422,2020-04-17,80s,480,111
423,2020-04-18,0s,138,0
424,2020-04-18,10s,576,0
425,2020-04-18,20s,2918,0
426,2020-04-18,30s,1136,1
427,2020-04-18,40s,1412,3
428,2020-04-18,50s,1944,15
429,2020-04-18,60s,1343,33
430,2020-04-18,70s,705,68
431,2020-04-18,80s,481,112
432,2020-04-19,0s,138,0
433,2020-04-19,10s,578,0
434,2020-04-19,20s,2921,0
435,2020-04-19,30s,1137,2
436,2020-04-19,40s,1412,3
437,2020-04-19,50s,1945,15
438,2020-04-19,60s,1343,34
439,2020-04-19,70s,705,68
440,2020-04-19,80s,482,112
441,2020-04-20,0s,138,0
442,2020-04-20,10s,581,0
443,2020-04-20,20s,2926,0
444,2020-04-20,30s,1139,2
445,2020-04-20,40s,1412,3
446,2020-04-20,50s,1948,15
447,2020-04-20,60s,1343,34
448,2020-04-20,70s,705,69
449,2020-04-20,80s,482,113
450,2020-04-21,0s,138,0
451,2020-04-21,10s,582,0
452,2020-04-21,20s,2928,0
453,2020-04-21,30s,1139,2
454,2020-04-21,40s,1413,3
455,2020-04-21,50s,1951,15
456,2020-04-21,60s,1343,34
457,2020-04-21,70s,706,70
458,2020-04-21,80s,483,113
459,2020-04-22,0s,138,0
460,2020-04-22,10s,583,0
461,2020-04-22,20s,2931,0
462,2020-04-22,30s,1140,2
463,2020-04-22,40s,1417,3
464,2020-04-22,50s,1951,15
465,2020-04-22,60s,1344,34
466,2020-04-22,70s,707,71
467,2020-04-22,80s,483,113
468,2020-04-23,0s,138,0
469,2020-04-23,10s,584,0
470,2020-04-23,20s,2933,0
471,2020-04-23,30s,1141,2
472,2020-04-23,40s,1418,3
473,2020-04-23,50s,1952,15
474,2020-04-23,60s,1344,35
475,2020-04-23,70s,708,71
476,2020-04-23,80s,484,114
477,2020-04-24,0s,138,0
478,2020-04-24,10s,585,0
479,2020-04-24,20s,2934,0
480,2020-04-24,30s,1142,2
481,2020-04-24,40s,1418,3
482,2020-04-24,50s,1953,15
483,2020-04-24,60s,1345,35
484,2020-04-24,70s,708,71
485,2020-04-24,80s,485,114
486,2020-04-25,0s,139,0
487,2020-04-25,10s,586,0
488,2020-04-25,20s,2937,0
489,2020-04-25,30s,1143,2
490,2020-04-25,40s,1420,3
491,2020-04-25,50s,1953,15
492,2020-04-25,60s,1347,35
493,2020-04-25,70s,708,71
494,2020-04-25,80s,485,114
495,2020-04-26,0s,140,0
496,2020-04-26,10s,586,0
497,2020-04-26,20s,2940,0
498,2020-04-26,30s,1147,2
499,2020-04-26,40s,1421,3
500,2020-04-26,50s,1953,15
501,2020-04-26,60s,1347,35
502,2020-04-26,70s,708,72
503,2020-04-26,80s,485,115
504,2020-04-27,0s,140,0
505,2020-04-27,10s,588,0
506,2020-04-27,20s,2943,0
507,2020-04-27,30s,1152,2
508,2020-04-27,40s,1422,3
509,2020-04-27,50s,1953,15
510,2020-04-27,60s,1347,35
511,2020-04-27,70s,708,72
512,2020-04-27,80s,485,116
513,2020-04-28,0s,140,0
514,2020-04-28,10s,590,0
515,2020-04-28,20s,2948,0
516,2020-04-28,30s,1154,2
517,2020-04-28,40s,1423,3
518,2020-04-28,50s,1955,15
519,2020-04-28,60s,1348,35
520,2020-04-28,70s,709,73
521,2020-04-28,80s,485,116
522,2020-04-29,0s,140,0
523,2020-04-29,10s,590,0
524,2020-04-29,20s,2951,0
525,2020-04-29,30s,1156,2
526,2020-04-29,40s,1426,3
527,2020-04-29,50s,1956,15
528,2020-04-29,60s,1348,35
529,2020-04-29,70s,709,73
530,2020-04-29,80s,485,118
531,2020-04-30,0s,140,0
532,2020-04-30,10s,590,0
533,2020-04-30,20s,2952,0
534,2020-04-30,30s,1158,2
535,2020-04-30,40s,1427,3
536,2020-04-30,50s,1956,15
537,2020-04-30,60s,1348,35
538,2020-04-30,70s,709,74
539,2020-04-30,80s,485,118
540,2020-05-01,0s,140,0
541,2020-05-01,10s,590,0
542,2020-05-01,20s,2957,0
543,2020-05-01,30s,1159,2
544,2020-05-01,40s,1429,3
545,2020-05-01,50s,1956,15
546,2020-05-01,60s,1348,35
547,2020-05-01,70s,709,75
548,2020-05-01,80s,486,118
549,2020-05-02,0s,140,0
550,2020-05-02,10s,590,0
551,2020-05-02,20s,2960,0
552,2020-05-02,30s,1160,2
553,2020-05-02,40s,1430,3
554,2020-05-02,50s,1956,15
555,2020-05-02,60s,1349,35
556,2020-05-02,70s,709,75
557,2020-05-02,80s,486,120
558,2020-05-03,0s,140,0
559,2020-05-03,10s,591,0
560,2020-05-03,20s,2962,0
561,2020-05-03,30s,1163,2
562,2020-05-03,40s,1432,3
563,2020-05-03,50s,1956,15
564,2020-05-03,60s,1351,35
565,2020-05-03,70s,710,75
566,2020-05-03,80s,488,120
567,2020-05-04,0s,140,0
568,2020-05-04,10s,591,0
569,2020-05-04,20s,2964,0
570,2020-05-04,30s,1164,2
571,2020-05-04,40s,1435,3
572,2020-05-04,50s,1956,15
573,2020-05-04,60s,1353,36
574,2020-05-04,70s,710,76
575,2020-05-04,80s,488,120
576,2020-05-05,0s,140,0
577,2020-05-05,10s,591,0
578,2020-05-05,20s,2964,0
579,2020-05-05,30s,1165,2
580,2020-05-05,40s,1436,3
581,2020-05-05,50s,1957,15
582,2020-05-05,60s,1353,36
583,2020-05-05,70s,710,76
584,2020-05-05,80s,488,122
585,2020-05-06,0s,140,0
586,2020-05-06,10s,591,0
587,2020-05-06,20s,2964,0
588,2020-05-06,30s,1166,2
589,2020-05-06,40s,1436,3
590,2020-05-06,50s,1957,15
591,2020-05-06,60s,1354,36
592,2020-05-06,70s,710,77
593,2020-05-06,80s,488,122
594,2020-05-07,0s,140,0
595,2020-05-07,10s,592,0
596,2020-05-07,20s,2966,0
597,2020-05-07,30s,1167,2
598,2020-05-07,40s,1436,3
599,2020-05-07,50s,1957,15
600,2020-05-07,60s,1354,37
601,2020-05-07,70s,710,77
602,2020-05-07,80s,488,122
603,2020-05-08,0s,141,0
604,2020-05-08,10s,592,0
605,2020-05-08,20s,2967,0
606,2020-05-08,30s,1174,2
607,2020-05-08,40s,1438,3
608,2020-05-08,50s,1957,15
609,2020-05-08,60s,1355,37
610,2020-05-08,70s,710,77
611,2020-05-08,80s,488,122
612,2020-05-09,0s,141,0
613,2020-05-09,10s,594,0
614,2020-05-09,20s,2979,0
615,2020-05-09,30s,1177,2
616,2020-05-09,40s,1438,3
617,2020-05-09,50s,1958,15
618,2020-05-09,60s,1355,37
619,2020-05-09,70s,710,77
620,2020-05-09,80s,488,122
621,2020-05-10,0s,141,0
622,2020-05-10,10s,597,0
623,2020-05-10,20s,2998,0
624,2020-05-10,30s,1180,2
625,2020-05-10,40s,1442,3
626,2020-05-10,50s,1960,15
627,2020-05-10,60s,1357,37
628,2020-05-10,70s,711,77
629,2020-05-10,80s,488,122
630,2020-05-11,0s,141,0
631,2020-05-11,10s,598,0
632,2020-05-11,20s,3019,0
633,2020-05-11,30s,1188,2
634,2020-05-11,40s,1446,3
635,2020-05-11,50s,1960,15
636,2020-05-11,60s,1358,37
637,2020-05-11,70s,711,77
638,2020-05-11,80s,488,122
639,2020-05-12,0s,142,0
640,2020-05-12,10s,602,0
641,2020-05-12,20s,3029,0
642,2020-05-12,30s,1194,2
643,2020-05-12,40s,1448,3
644,2020-05-12,50s,1963,15
645,2020-05-12,60s,1358,37
646,2020-05-12,70s,711,77
647,2020-05-12,80s,489,124
648,2020-05-13,0s,143,0
649,2020-05-13,10s,603,0
650,2020-05-13,20s,3042,0
651,2020-05-13,30s,1199,2
652,2020-05-13,40s,1450,3
653,2020-05-13,50s,1964,15
654,2020-05-13,60s,1359,37
655,2020-05-13,70s,712,77
656,2020-05-13,80s,490,125
657,2020-05-14,0s,143,0
658,2020-05-14,10s,614,0
659,2020-05-14,20s,3056,0
660,2020-05-14,30s,1202,2
661,2020-05-14,40s,1451,3
662,2020-05-14,50s,1964,15
663,2020-05-14,60s,1359,38
664,2020-05-14,70s,712,77
665,2020-05-14,80s,490,125
