,date,province,confirmed,deceased
554,2020-02-21,Chungcheongbuk-do,1,0
555,2020-02-21,Chungcheongnam-do,1,0
556,2020-02-21,Jeollabuk-do,2,0
557,2020-02-21,Jeollanam-do,0,0
558,2020-02-21,Gyeongsangbuk-do,28,1
559,2020-02-21,Gyeongsangnam-do,7,0
560,2020-02-21,Jeju-do,1,0
561,2020-02-22,Seoul,30,0
562,2020-02-22,Busan,11,0
563,2020-02-22,Daegu,193,0
564,2020-02-22,Incheon,2,0
565,2020-02-22,Gwangju,6,0
566,2020-02-22,Daejeon,2,0
567,2020-02-22,Ulsan,1,0
568,2020-02-22,Sejong,1,0
569,2020-02-22,Gyeonggi-do,20,0
570,2020-02-22,Gangwon-do,6,0
571,2020-02-22,Chungcheongbuk-do,3,0
572,2020-02-22,Chungcheongnam-do,1,0
573,2020-02-22,Jeollabuk-do,3,0
574,2020-02-22,Jeollanam-do,1,0
575,2020-02-22,Gyeongsangbuk-do,145,3
576,2020-02-22,Gyeongsangnam-do,7,0
577,2020-02-22,Jeju-do,1,0
578,2020-02-23,Seoul,31,0
579,2020-02-23,Busan,19,0
580,2020-02-23,Daegu,310,1
581,2020-02-23,Incheon,2,0
582,2020-02-23,Gwangju,8,0
583,2020-02-23,Daejeon,3,0
584,2020-02-23,Ulsan,1,0
585,2020-02-23,Sejong,1,0
586,2020-02-23,Gyeonggi-do,24,0
587,2020-02-23,Gangwon-do,6,0
588,2020-02-23,Chungcheongbuk-do,3,0
589,2020-02-23,Chungcheongnam-do,1,0
590,2020-02-23,Jeollabuk-do,3,0
591,2020-02-23,Jeollanam-do,1,0
592,2020-02-23,Gyeongsangbuk-do,170,3
593,2020-02-23,Gyeongsangnam-do,17,0
594,2020-02-23,Jeju-do,2,0
595,2020-02-24,Seoul,35,0
596,2020-02-24,Busan,34,0
597,2020-02-24,Daegu,483,2
598,2020-02-24,Incheon,2,0
599,2020-02-24,Gwangju,9,0
600,2020-02-24,Daejeon,3,0
601,2020-02-24,Ulsan,2,0
602,2020-02-24,Sejong,1,0
603,2020-02-24,Gyeonggi-do,35,0
604,2020-02-24,Gangwon-do,6,0
605,2020-02-24,Chungcheongbuk-do,3,0
606,2020-02-24,Chungcheongnam-do,1,0
607,2020-02-24,Jeollabuk-do,3,0
608,2020-02-24,Jeollanam-do,1,0
609,2020-02-24,Gyeongsangbuk-do,193,6
610,2020-02-24,Gyeongsangnam-do,20,0
611,2020-02-24,Jeju-do,2,0
612,2020-02-25,Seoul,41,0
613,2020-02-25,Busan,42,0
614,2020-02-25,Daegu,543,6
615,2020-02-25,Incheon,2,0
616,2020-02-25,Gwangju,9,0
617,2020-02-25,Daejeon,3,0
618,2020-02-25,Ulsan,3,0
619,2020-02-25,Sejong,1,0
620,2020-02-25,Gyeonggi-do,42,0
621,2020-02-25,Gangwon-do,6,0
622,2020-02-25,Chungcheongbuk-do,5,0
623,2020-02-25,Chungcheongnam-do,2,0
624,2020-02-25,Jeollabuk-do,3,0
625,2020-02-25,Jeollanam-do,1,0
626,2020-02-25,Gyeongsangbuk-do,249,6
627,2020-02-25,Gyeongsangnam-do,23,0
628,2020-02-25,Jeju-do,2,0
629,2020-02-26,Seoul,49,0
630,2020-02-26,Busan,58,0
631,2020-02-26,Daegu,710,6
632,2020-02-26,Incheon,3,0
633,2020-02-26,Gwangju,9,0
634,2020-02-26,Daejeon,5,0
635,2020-02-26,Ulsan,4,0
636,2020-02-26,Sejong,1,0
637,2020-02-26,Gyeonggi-do,51,1
638,2020-02-26,Gangwon-do,6,0
639,2020-02-26,Chungcheongbuk-do,5,0
640,2020-02-26,Chungcheongnam-do,3,0
641,2020-02-26,Jeollabuk-do,3,0
642,2020-02-26,Jeollanam-do,1,0
643,2020-02-26,Gyeongsangbuk-do,317,6
644,2020-02-26,Gyeongsangnam-do,34,0
645,2020-02-26,Jeju-do,2,0
646,2020-02-27,Seoul,56,0
647,2020-02-27,Busan,61,0
648,2020-02-27,Daegu,1132,6
649,2020-02-27,Incheon,3,0
650,2020-02-27,Gwangju,9,0
651,2020-02-27,Daejeon,9,0
652,2020-02-27,Ulsan,11,0
653,2020-02-27,Sejong,1,0
654,2020-02-27,Gyeonggi-do,62,1
655,2020-02-27,Gangwon-do,6,0
656,2020-02-27,Chungcheongbuk-do,8,0
657,2020-02-27,Chungcheongnam-do,12,0
658,2020-02-27,Jeollabuk-do,5,0
659,2020-02-27,Jeollanam-do,1,0
660,2020-02-27,Gyeongsangbuk-do,345,6
661,2020-02-27,Gyeongsangnam-do,43,0
662,2020-02-27,Jeju-do,2,0
663,2020-02-28,Seoul,62,0
664,2020-02-28,Busan,65,0
665,2020-02-28,Daegu,1580,6
666,2020-02-28,Incheon,4,0
667,2020-02-28,Gwangju,9,0
668,2020-02-28,Daejeon,13,0
